brand_id,year,brand_name,industry_major,industry_mid,n_stores,deterioration_1y,score_raw,deterioration_step,deterioration_rank_pct,brand_state,n_events_at_t,in_model_population,risk_grade,grade,factor1,factor1_shap,factor2,factor2_shap,factor3,factor3_shap
BRD_20151124,2024,찡오언니,도소매,농수산물,6.0,0.4286381662679528,0.746075953691027,0.42857142857142855,0.9685258964143426,건전,0,True,High,FS3,[업종상대] 계약종료 백분위,0.3756,[변화] 점포 증가율,0.26396,[구조] 지역당 평균 점포수,0.22816
BRD_20080100100,2024,오르다코리아,서비스,유아 관련 (교육 외),11.0,0.4286358245943906,0.745961999984403,0.42857142857142855,0.9681274900398407,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.47047,[구조] 지역당 평균 점포수,0.29728,[변화] 점포 증가율,0.28689
BRD_20211561,2024,파스타집이야,외식,서양식,23.0,0.4286334829208283,0.7458438444898402,0.42857142857142855,0.9677290836653386,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.65787,[변화] 점포 증가율,0.30882,[구조] 지역당 평균 점포수,0.19859
BRD_20201348,2024,"떡볶이 참 잘하는 집, 떡참",외식,분식,82.0,0.4286311412472661,0.745102904184584,0.42857142857142855,0.9673306772908367,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.61001,[변화] 점포 증가율,0.31286,[추세] 점포 증가율 평균,0.22058
BRD_20080100423,2024,토피아어학원,서비스,교육 (외국어),5.0,0.4286287995737038,0.745076634327377,0.42857142857142855,0.9669322709163347,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.41831,[구조] 지역당 평균 점포수,0.27773,[변화] 점포 증가율,0.24696
BRD_20200402,2024,포토이즘,서비스,기타 서비스,19.0,0.42862645790014153,0.7449430984788277,0.42857142857142855,0.9665338645418327,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.44281,[변화] 점포 증가율,0.31498,[구조] 지역당 평균 점포수,0.27885
BRD_20211458,2024,양호실떡볶이,외식,분식,10.0,0.4286241162265793,0.7443002889284226,0.42857142857142855,0.9661354581673307,요주의,3,False,High,FS3,[업종상대] 계약종료 백분위,0.32228,[변화] 점포 증가율,0.25643,[구조] 지역당 평균 점포수,0.23083
BRD_20170854,2024,갈통삼,외식,한식,1.0,0.42862177455301703,0.7441860062620826,0.42857142857142855,0.9657370517928286,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.44248,[구조] 지역당 평균 점포수,0.27591,[변화] 점포 증가율,0.26741
BRD_20212815,2024,조타코,외식,기타 외국식,19.0,0.4286194328794548,0.7433096966970689,0.42857142857142855,0.9653386454183267,요주의,2,False,High,FS3,[업종상대] 계약종료 백분위,0.40786,[변화] 점포 증가율,0.26772,[구조] 지역당 평균 점포수,0.2608
BRD_20170929,2024,제주생선구이 올래밥상,외식,한식,7.0,0.42861709120589253,0.7429687885892651,0.42857142857142855,0.9649402390438248,요주의,1,False,High,FS3,[업종상대] 계약종료 백분위,0.38158,[구조] 지역당 평균 점포수,0.27965,[변화] 점포 증가율,0.25488
